卡号,消费额,付款方式,性别,年龄,物品
34593,35.8231,CARD,M,50,肉罐头
34593,35.8231,CARD,M,50,冻肉
34593,35.8231,CARD,M,50,白酒
67697,12.9477,CARD,M,44,乳制品
67697,12.9477,CARD,M,44,冻肉
15663,45.1901,CARD,F,45,啤酒
108601,14.1216,CASH,M,49,白酒
108601,14.1216,CASH,M,49,鱼类
55951,15.6793,CARD,M,39,白酒
55951,15.6793,CARD,M,39,糖果
39817,13.2005,CASH,F,49,啤酒
19613,46.1507,CARD,F,45,肉罐头
71600,47.3234,CHEQUE,M,33,水果
71600,47.3234,CHEQUE,M,33,蔬菜罐头
71600,47.3234,CHEQUE,M,33,肉罐头
71600,47.3234,CHEQUE,M,33,冻肉
71600,47.3234,CHEQUE,M,33,啤酒
71600,47.3234,CHEQUE,M,33,白酒
71600,47.3234,CHEQUE,M,33,鱼类
90861,38.2559,CASH,F,29,水果
90861,38.2559,CASH,F,29,鲜肉
90861,38.2559,CASH,F,29,糖果
68501,15.3726,CHEQUE,F,31,水果
68501,15.3726,CHEQUE,F,31,鲜肉
68501,15.3726,CHEQUE,F,31,软饮料
68501,15.3726,CHEQUE,F,31,鱼类
30132,23.9357,CASH,M,23,水果
30132,23.9357,CASH,M,23,乳制品
30132,23.9357,CASH,M,23,蔬菜罐头
30132,23.9357,CASH,M,23,冻肉
30132,23.9357,CASH,M,23,啤酒
30132,23.9357,CASH,M,23,鱼类
78639,32.0691,CASH,M,48,鱼类
46419,45.3239,CARD,F,27,糖果
50633,23.0638,CHEQUE,M,46,糖果
11553,15.1133,CASH,M,27,糖果
65853,20.6815,CASH,M,33,水果
65853,20.6815,CASH,M,33,乳制品
47547,42.8159,CASH,F,46,软饮料
38360,35.0157,CASH,F,27,蔬菜罐头
107728,16.9603,CHEQUE,F,49,鲜肉
107728,16.9603,CHEQUE,F,49,冻肉
107728,16.9603,CHEQUE,F,49,啤酒
107728,16.9603,CHEQUE,F,49,白酒
30390,26.6278,CASH,M,25,软饮料
75815,19.1927,CARD,F,40,冻肉
75815,19.1927,CARD,F,40,白酒
75815,19.1927,CARD,F,40,糖果
106288,10.0926,CHEQUE,F,23,蔬菜罐头
106288,10.0926,CHEQUE,F,23,糖果
88596,34.1082,CASH,F,38,乳制品
88596,34.1082,CASH,F,38,白酒
88596,34.1082,CASH,F,38,软饮料
88596,34.1082,CASH,F,38,糖果
93469,32.7656,CHEQUE,M,16,水果
93469,32.7656,CHEQUE,M,16,乳制品
93469,32.7656,CHEQUE,M,16,蔬菜罐头
93469,32.7656,CHEQUE,M,16,肉罐头
93469,32.7656,CHEQUE,M,16,冻肉
93469,32.7656,CHEQUE,M,16,软饮料
93469,32.7656,CHEQUE,M,16,鱼类
12584,46.6323,CARD,F,29,水果
12584,46.6323,CARD,F,29,啤酒
12584,46.6323,CARD,F,29,白酒
12584,46.6323,CARD,F,29,糖果
107080,29.4064,CARD,F,43,蔬菜罐头
73651,14.1309,CASH,M,22,水果
73651,14.1309,CASH,M,22,鲜肉
54180,43.0372,CASH,M,32,鲜肉
54180,43.0372,CASH,M,32,蔬菜罐头
54180,43.0372,CASH,M,32,冻肉
54180,43.0372,CASH,M,32,啤酒
45102,32.5518,CASH,M,16,水果
45102,32.5518,CASH,M,16,冻肉
45102,32.5518,CASH,M,16,鱼类
85475,37.0037,CARD,M,47,水果
85475,37.0037,CARD,M,47,白酒
78363,49.4132,CARD,M,18,水果
78363,49.4132,CARD,M,18,蔬菜罐头
78363,49.4132,CARD,M,18,冻肉
78363,49.4132,CARD,M,18,啤酒
78363,49.4132,CARD,M,18,白酒
23718,37.8611,CHEQUE,M,37,蔬菜罐头
23718,37.8611,CHEQUE,M,37,冻肉
23718,37.8611,CHEQUE,M,37,白酒
23718,37.8611,CHEQUE,M,37,鱼类
54152,20.595,CARD,M,38,冻肉
54152,20.595,CARD,M,38,啤酒
54152,20.595,CARD,M,38,白酒
93963,49.1922,CARD,M,21,鲜肉
35561,34.4236,CASH,M,24,冻肉
35561,34.4236,CASH,M,24,糖果
30371,30.8872,CARD,F,24,水果
93669,27.7032,CHEQUE,F,37,蔬菜罐头
93669,27.7032,CHEQUE,F,37,白酒
93669,27.7032,CHEQUE,F,37,糖果
70858,20.9462,CASH,M,46,水果
70858,20.9462,CASH,M,46,鲜肉
70858,20.9462,CASH,M,46,蔬菜罐头
70858,20.9462,CASH,M,46,鱼类
70858,20.9462,CASH,M,46,糖果
103147,43.8622,CARD,M,28,蔬菜罐头
80198,34.267,CARD,F,47,啤酒
80198,34.267,CARD,F,47,白酒
80198,34.267,CARD,F,47,糖果
42459,32.6446,CARD,F,47,肉罐头
42459,32.6446,CARD,F,47,冻肉
42459,32.6446,CARD,F,47,白酒
42459,32.6446,CARD,F,47,软饮料
42459,32.6446,CARD,F,47,糖果
43800,44.2831,CARD,F,36,蔬菜罐头
43800,44.2831,CARD,F,36,啤酒
43800,44.2831,CARD,F,36,白酒
43800,44.2831,CARD,F,36,糖果
29640,28.5955,CASH,F,27,蔬菜罐头
29640,28.5955,CASH,F,27,肉罐头
29640,28.5955,CASH,F,27,冻肉
29640,28.5955,CASH,F,27,白酒
109000,14.9647,CASH,F,22,蔬菜罐头
109000,14.9647,CASH,F,22,肉罐头
109000,14.9647,CASH,F,22,白酒
109000,14.9647,CASH,F,22,软饮料
108739,10.9737,CASH,M,29,水果
108739,10.9737,CASH,M,29,白酒
108739,10.9737,CASH,M,29,软饮料
108739,10.9737,CASH,M,29,糖果
104165,32.2963,CARD,M,43,白酒
73630,10.4506,CARD,F,25,蔬菜罐头
73630,10.4506,CARD,F,25,肉罐头
73630,10.4506,CARD,F,25,白酒
25765,35.6814,CHEQUE,F,25,白酒
25765,35.6814,CHEQUE,F,25,糖果
84903,32.8053,CARD,F,17,水果
84903,32.8053,CARD,F,17,冻肉
84903,32.8053,CARD,F,17,软饮料
84903,32.8053,CARD,F,17,鱼类
99347,34.6651,CARD,F,44,鲜肉
99347,34.6651,CARD,F,44,乳制品
99347,34.6651,CARD,F,44,蔬菜罐头
99347,34.6651,CARD,F,44,白酒
99347,34.6651,CARD,F,44,糖果
41157,20.2332,CASH,F,40,水果
41157,20.2332,CASH,F,40,乳制品
41157,20.2332,CASH,F,40,肉罐头
41157,20.2332,CASH,F,40,冻肉
41157,20.2332,CASH,F,40,软饮料
20325,15.356,CARD,M,24,鲜肉
20325,15.356,CARD,M,24,乳制品
20325,15.356,CARD,M,24,冻肉
20325,15.356,CARD,M,24,白酒
71462,40.9979,CARD,F,42,鲜肉
71462,40.9979,CARD,F,42,白酒
71462,40.9979,CARD,F,42,糖果
91928,12.3639,CARD,F,19,水果
91928,12.3639,CARD,F,19,肉罐头
91928,12.3639,CARD,F,19,白酒
91928,12.3639,CARD,F,19,软饮料
91928,12.3639,CARD,F,19,鱼类
91928,12.3639,CARD,F,19,糖果
80306,31.9965,CASH,F,27,乳制品
80306,31.9965,CASH,F,27,肉罐头
80306,31.9965,CASH,F,27,冻肉
80306,31.9965,CASH,F,27,啤酒
80306,31.9965,CASH,F,27,白酒
78113,14.3918,CASH,F,22,水果
78113,14.3918,CASH,F,22,蔬菜罐头
78113,14.3918,CASH,F,22,白酒
95488,11.9753,CARD,F,26,水果
95488,11.9753,CARD,F,26,乳制品
27720,37.4582,CARD,F,16,冻肉
27720,37.4582,CARD,F,16,鱼类
76264,15.99,CHEQUE,M,16,水果
76264,15.99,CHEQUE,M,16,鲜肉
76264,15.99,CHEQUE,M,16,鱼类
38477,13.8168,CASH,M,38,鲜肉
38477,13.8168,CASH,M,38,糖果
43557,24.5056,CASH,F,25,水果
10609,14.2389,CHEQUE,F,41,水果
10609,14.2389,CHEQUE,F,41,鱼类
73259,16.8793,CARD,F,42,水果
73259,16.8793,CARD,F,42,肉罐头
18920,45.3683,CASH,M,49,蔬菜罐头
18920,45.3683,CASH,M,49,白酒
18920,45.3683,CASH,M,49,软饮料
14912,39.1559,CHEQUE,M,28,蔬菜罐头
14912,39.1559,CHEQUE,M,28,冻肉
14912,39.1559,CHEQUE,M,28,啤酒
14912,39.1559,CHEQUE,M,28,白酒
80438,15.8347,CARD,M,38,白酒
80438,15.8347,CARD,M,38,糖果
81034,20.9511,CHEQUE,M,28,鲜肉
81034,20.9511,CHEQUE,M,28,蔬菜罐头
81034,20.9511,CHEQUE,M,28,肉罐头
81034,20.9511,CHEQUE,M,28,冻肉
81034,20.9511,CHEQUE,M,28,啤酒
89250,43.6042,CASH,F,29,鲜肉
89250,43.6042,CASH,F,29,肉罐头
89250,43.6042,CASH,F,29,白酒
89250,43.6042,CASH,F,29,糖果
96982,15.4964,CARD,M,49,水果
96982,15.4964,CARD,M,49,蔬菜罐头
96982,15.4964,CARD,M,49,冻肉
96982,15.4964,CARD,M,49,啤酒
89872,15.6822,CARD,F,40,啤酒
71140,22.0941,CARD,M,42,啤酒
83650,33.5584,CASH,F,22,鱼类
14891,18.391,CASH,F,26,蔬菜罐头
68438,23.4241,CASH,F,46,水果
68438,23.4241,CASH,F,46,糖果
66267,15.686,CASH,F,21,水果
66267,15.686,CASH,F,21,鲜肉
66267,15.686,CASH,F,21,乳制品
66267,15.686,CASH,F,21,啤酒
66267,15.686,CASH,F,21,白酒
66267,15.686,CASH,F,21,鱼类
66267,15.686,CASH,F,21,糖果
87975,27.82,CARD,F,26,乳制品
87975,27.82,CARD,F,26,鱼类
39970,46.7406,CHEQUE,M,22,蔬菜罐头
39970,46.7406,CHEQUE,M,22,冻肉
39970,46.7406,CHEQUE,M,22,啤酒
104111,27.4529,CARD,F,20,乳制品
104111,27.4529,CARD,F,20,鱼类
104111,27.4529,CARD,F,20,糖果
92209,30.904,CHEQUE,F,17,鲜肉
92209,30.904,CHEQUE,F,17,乳制品
92209,30.904,CHEQUE,F,17,肉罐头
66711,41.407,CASH,F,48,乳制品
102215,13.1647,CASH,M,47,蔬菜罐头
102215,13.1647,CASH,M,47,冻肉
102215,13.1647,CASH,M,47,啤酒
34750,21.9036,CARD,F,48,水果
34750,21.9036,CARD,F,48,蔬菜罐头
34750,21.9036,CARD,F,48,肉罐头
34750,21.9036,CARD,F,48,啤酒
62060,40.7025,CARD,M,42,蔬菜罐头
62060,40.7025,CARD,M,42,冻肉
62060,40.7025,CARD,M,42,啤酒
25524,45.9486,CARD,M,36,蔬菜罐头
25524,45.9486,CARD,M,36,肉罐头
25524,45.9486,CARD,M,36,冻肉
47341,31.9765,CARD,M,16,水果
47341,31.9765,CARD,M,16,冻肉
47341,31.9765,CARD,M,16,鱼类
47341,31.9765,CARD,M,16,糖果
67799,16.9724,CARD,F,16,水果
67799,16.9724,CARD,F,16,冻肉
67799,16.9724,CARD,F,16,鱼类
67799,16.9724,CARD,F,16,糖果
47136,22.032,CASH,F,43,鱼类
17375,12.7641,CHEQUE,M,22,肉罐头
40789,11.186,CASH,F,16,水果
40789,11.186,CASH,F,16,乳制品
40789,11.186,CASH,F,16,鱼类
40789,11.186,CASH,F,16,糖果
27673,37.5651,CASH,F,36,乳制品
27673,37.5651,CASH,F,36,冻肉
27673,37.5651,CASH,F,36,啤酒
27673,37.5651,CASH,F,36,白酒
27673,37.5651,CASH,F,36,糖果
45375,39.4947,CARD,M,50,肉罐头
45375,39.4947,CARD,M,50,冻肉
58341,32.8363,CASH,F,38,蔬菜罐头
58341,32.8363,CASH,F,38,肉罐头
37523,27.6713,CARD,F,16,水果
37523,27.6713,CARD,F,16,鲜肉
37523,27.6713,CARD,F,16,乳制品
37523,27.6713,CARD,F,16,蔬菜罐头
37523,27.6713,CARD,F,16,白酒
37523,27.6713,CARD,F,16,软饮料
37523,27.6713,CARD,F,16,鱼类
84042,18.1849,CASH,M,27,鲜肉
84042,18.1849,CASH,M,27,蔬菜罐头
84042,18.1849,CASH,M,27,肉罐头
84042,18.1849,CASH,M,27,冻肉
84042,18.1849,CASH,M,27,啤酒
64561,23.6794,CASH,F,33,肉罐头
64561,23.6794,CASH,F,33,软饮料
43044,29.8836,CASH,M,32,水果
43044,29.8836,CASH,M,32,鲜肉
43044,29.8836,CASH,M,32,软饮料
32369,21.9204,CHEQUE,M,21,蔬菜罐头
32369,21.9204,CHEQUE,M,21,糖果
31552,36.2776,CARD,M,17,水果
31552,36.2776,CARD,M,17,乳制品
31552,36.2776,CARD,M,17,糖果
41805,48.5787,CASH,M,25,蔬菜罐头
41805,48.5787,CASH,M,25,冻肉
41805,48.5787,CASH,M,25,啤酒
41805,48.5787,CASH,M,25,鱼类
41805,48.5787,CASH,M,25,糖果
46686,29.5925,CHEQUE,F,34,乳制品
95896,37.2821,CARD,M,21,白酒
63829,29.8575,CARD,F,45,啤酒
63829,29.8575,CARD,F,45,糖果
84180,10.4233,CHEQUE,M,47,蔬菜罐头
84180,10.4233,CHEQUE,M,47,冻肉
84180,10.4233,CHEQUE,M,47,啤酒
91972,49.1579,CARD,F,18,水果
91972,49.1579,CARD,F,18,冻肉
91972,49.1579,CARD,F,18,白酒
91972,49.1579,CARD,F,18,鱼类
91972,49.1579,CARD,F,18,糖果
44452,12.6097,CARD,F,30,水果
44452,12.6097,CARD,F,30,肉罐头
44452,12.6097,CARD,F,30,啤酒
87151,44.1181,CHEQUE,F,30,乳制品
87151,44.1181,CHEQUE,F,30,肉罐头
87151,44.1181,CHEQUE,F,30,冻肉
87151,44.1181,CHEQUE,F,30,白酒
87151,44.1181,CHEQUE,F,30,鱼类
87151,44.1181,CHEQUE,F,30,糖果
23501,10.225,CASH,M,49,白酒
23501,10.225,CASH,M,49,软饮料
23501,10.225,CASH,M,49,鱼类
23501,10.225,CASH,M,49,糖果
96584,17.3355,CASH,M,39,水果
96584,17.3355,CASH,M,39,软饮料
15306,22.3248,CASH,M,41,蔬菜罐头
15306,22.3248,CASH,M,41,肉罐头
15306,22.3248,CASH,M,41,冻肉
15306,22.3248,CASH,M,41,啤酒
93920,22.5392,CARD,M,18,鲜肉
93920,22.5392,CARD,M,18,蔬菜罐头
93920,22.5392,CARD,M,18,冻肉
93920,22.5392,CARD,M,18,啤酒
93920,22.5392,CARD,M,18,白酒
103316,29.3125,CASH,M,46,鲜肉
103316,29.3125,CASH,M,46,糖果
17110,12.7214,CASH,M,45,蔬菜罐头
17110,12.7214,CASH,M,45,肉罐头
17110,12.7214,CASH,M,45,冻肉
17110,12.7214,CASH,M,45,啤酒
71652,34.0689,CARD,M,29,乳制品
71652,34.0689,CARD,M,29,蔬菜罐头
71652,34.0689,CARD,M,29,冻肉
71652,34.0689,CARD,M,29,啤酒
88886,18.932,CARD,M,25,蔬菜罐头
29224,40.9484,CARD,F,16,水果
29224,40.9484,CARD,F,16,肉罐头
29224,40.9484,CARD,F,16,啤酒
29224,40.9484,CARD,F,16,白酒
29224,40.9484,CARD,F,16,鱼类
29224,40.9484,CARD,F,16,糖果
43111,43.4371,CASH,F,27,乳制品
43111,43.4371,CASH,F,27,蔬菜罐头
43111,43.4371,CASH,F,27,软饮料
18126,34.7134,CARD,F,19,水果
18126,34.7134,CARD,F,19,蔬菜罐头
18126,34.7134,CARD,F,19,白酒
18126,34.7134,CARD,F,19,软饮料
18126,34.7134,CARD,F,19,鱼类
87101,23.0974,CHEQUE,M,23,水果
87101,23.0974,CHEQUE,M,23,肉罐头
87101,23.0974,CHEQUE,M,23,冻肉
87101,23.0974,CHEQUE,M,23,鱼类
87101,23.0974,CHEQUE,M,23,糖果
102934,37.7352,CHEQUE,F,45,水果
102934,37.7352,CHEQUE,F,45,白酒
102934,37.7352,CHEQUE,F,45,糖果
100328,30.4099,CHEQUE,M,36,鲜肉
100328,30.4099,CHEQUE,M,36,蔬菜罐头
100328,30.4099,CHEQUE,M,36,冻肉
100328,30.4099,CHEQUE,M,36,啤酒
100328,30.4099,CHEQUE,M,36,鱼类
94108,21.3634,CASH,M,42,乳制品
94108,21.3634,CASH,M,42,白酒
94108,21.3634,CASH,M,42,软饮料
47913,49.0675,CHEQUE,F,25,乳制品
47913,49.0675,CHEQUE,F,25,白酒
47913,49.0675,CHEQUE,F,25,糖果
17809,39.6015,CARD,M,20,糖果
45019,47.2341,CARD,M,48,鲜肉
55552,41.6462,CARD,M,50,水果
55552,41.6462,CARD,M,50,鱼类
92883,18.8207,CARD,F,27,水果
89649,26.9621,CHEQUE,F,24,水果
89649,26.9621,CHEQUE,F,24,鱼类
89649,26.9621,CHEQUE,F,24,糖果
38063,36.0742,CASH,F,16,水果
38063,36.0742,CASH,F,16,白酒
38063,36.0742,CASH,F,16,鱼类
38063,36.0742,CASH,F,16,糖果
11230,46.279,CASH,M,42,乳制品
11230,46.279,CASH,M,42,鱼类
11230,46.279,CASH,M,42,糖果
89302,20.4889,CARD,F,39,鱼类
35707,16.5348,CASH,M,42,软饮料
35707,16.5348,CASH,M,42,鱼类
90264,10.4971,CARD,M,18,水果
90264,10.4971,CARD,M,18,鱼类
79875,10.0844,CHEQUE,F,39,鲜肉
74463,16.7073,CARD,F,36,蔬菜罐头
74463,16.7073,CARD,F,36,冻肉
74463,16.7073,CARD,F,36,软饮料
56258,21.5804,CARD,F,48,水果
56258,21.5804,CARD,F,48,白酒
56258,21.5804,CARD,F,48,软饮料
81836,32.9521,CHEQUE,M,48,冻肉
81836,32.9521,CHEQUE,M,48,软饮料
81836,32.9521,CHEQUE,M,48,鱼类
95026,13.4226,CASH,F,29,乳制品
95026,13.4226,CASH,F,29,鱼类
95026,13.4226,CASH,F,29,糖果
87482,40.101,CARD,F,38,水果
87482,40.101,CARD,F,38,肉罐头
87482,40.101,CARD,F,38,冻肉
87482,40.101,CARD,F,38,白酒
20556,20.4104,CARD,M,18,水果
20556,20.4104,CARD,M,18,啤酒
20556,20.4104,CARD,M,18,鱼类
68058,49.8863,CASH,F,22,水果
68058,49.8863,CASH,F,22,乳制品
68058,49.8863,CASH,F,22,白酒
68058,49.8863,CASH,F,22,鱼类
68058,49.8863,CASH,F,22,糖果
23845,12.4227,CARD,F,47,乳制品
23845,12.4227,CARD,F,47,啤酒
39952,35.3369,CARD,M,37,蔬菜罐头
39952,35.3369,CARD,M,37,冻肉
39952,35.3369,CARD,M,37,啤酒
39952,35.3369,CARD,M,37,软饮料
33172,31.065,CARD,M,48,鲜肉
33172,31.065,CARD,M,48,糖果
71254,17.1837,CHEQUE,F,45,鲜肉
71254,17.1837,CHEQUE,F,45,冻肉
36190,28.4132,CHEQUE,M,18,蔬菜罐头
36190,28.4132,CHEQUE,M,18,冻肉
36190,28.4132,CHEQUE,M,18,啤酒
36190,28.4132,CHEQUE,M,18,软饮料
15099,11.2731,CARD,M,16,水果
15099,11.2731,CARD,M,16,蔬菜罐头
15099,11.2731,CARD,M,16,冻肉
15099,11.2731,CARD,M,16,啤酒
15099,11.2731,CARD,M,16,鱼类
100256,11.9099,CHEQUE,M,33,蔬菜罐头
100256,11.9099,CHEQUE,M,33,冻肉
100256,11.9099,CHEQUE,M,33,啤酒
100256,11.9099,CHEQUE,M,33,白酒
51384,14.8697,CASH,F,47,鱼类
84756,29.1981,CARD,M,32,鱼类
84756,29.1981,CARD,M,32,糖果
28755,43.9948,CHEQUE,F,25,鱼类
28755,43.9948,CHEQUE,F,25,糖果
73480,13.9759,CHEQUE,M,41,蔬菜罐头
73480,13.9759,CHEQUE,M,41,冻肉
73480,13.9759,CHEQUE,M,41,啤酒
73480,13.9759,CHEQUE,M,41,糖果
86217,19.5378,CARD,M,43,蔬菜罐头
86217,19.5378,CARD,M,43,冻肉
86217,19.5378,CARD,M,43,啤酒
91055,24.7818,CARD,F,23,乳制品
91055,24.7818,CARD,F,23,软饮料
80297,37.2746,CHEQUE,F,21,水果
80297,37.2746,CHEQUE,F,21,鱼类
42381,46.0621,CASH,M,31,蔬菜罐头
42381,46.0621,CASH,M,31,肉罐头
42381,46.0621,CASH,M,31,冻肉
42381,46.0621,CASH,M,31,啤酒
42381,46.0621,CASH,M,31,白酒
42381,46.0621,CASH,M,31,鱼类
80954,13.9726,CASH,M,45,乳制品
80954,13.9726,CASH,M,45,蔬菜罐头
80954,13.9726,CASH,M,45,冻肉
80954,13.9726,CASH,M,45,啤酒
106531,11.6576,CASH,M,19,水果
106531,11.6576,CASH,M,19,冻肉
106531,11.6576,CASH,M,19,鱼类
78030,34.6469,CARD,F,38,肉罐头
78030,34.6469,CARD,F,38,白酒
78030,34.6469,CARD,F,38,糖果
103139,18.7964,CASH,F,20,鲜肉
103139,18.7964,CASH,F,20,蔬菜罐头
103139,18.7964,CASH,F,20,白酒
17939,15.8755,CASH,F,46,冻肉
42056,44.8521,CARD,F,30,白酒
42056,44.8521,CARD,F,30,鱼类
23419,15.6201,CASH,F,24,蔬菜罐头
23419,15.6201,CASH,F,24,肉罐头
23419,15.6201,CASH,F,24,白酒
23419,15.6201,CASH,F,24,软饮料
48783,24.61,CARD,M,50,水果
48783,24.61,CARD,M,50,蔬菜罐头
48783,24.61,CARD,M,50,冻肉
48783,24.61,CARD,M,50,啤酒
98204,18.4421,CHEQUE,M,18,乳制品
98204,18.4421,CHEQUE,M,18,蔬菜罐头
98204,18.4421,CHEQUE,M,18,冻肉
98204,18.4421,CHEQUE,M,18,啤酒
67063,40.0147,CARD,F,46,鲜肉
67063,40.0147,CARD,F,46,白酒
67063,40.0147,CARD,F,46,软饮料
67063,40.0147,CARD,F,46,鱼类
67063,40.0147,CARD,F,46,糖果
77335,47.8128,CASH,F,40,白酒
77335,47.8128,CASH,F,40,软饮料
77335,47.8128,CASH,F,40,糖果
24493,20.8675,CARD,M,45,水果
24493,20.8675,CARD,M,45,鲜肉
24493,20.8675,CARD,M,45,鱼类
79039,12.4456,CARD,M,46,乳制品
58803,11.2921,CHEQUE,M,39,鲜肉
58803,11.2921,CHEQUE,M,39,蔬菜罐头
58803,11.2921,CHEQUE,M,39,冻肉
58803,11.2921,CHEQUE,M,39,啤酒
58803,11.2921,CHEQUE,M,39,糖果
87066,10.8645,CARD,M,23,乳制品
87066,10.8645,CARD,M,23,鱼类
60159,43.2178,CARD,M,47,蔬菜罐头
60159,43.2178,CARD,M,47,冻肉
60159,43.2178,CARD,M,47,啤酒
15629,17.004,CASH,F,37,冻肉
15629,17.004,CASH,F,37,鱼类
38608,42.7334,CARD,M,21,鲜肉
38608,42.7334,CARD,M,21,啤酒
18143,43.5884,CASH,F,36,水果
18143,43.5884,CASH,F,36,肉罐头
18143,43.5884,CASH,F,36,冻肉
22316,29.7579,CASH,F,20,蔬菜罐头
22316,29.7579,CASH,F,20,肉罐头
22316,29.7579,CASH,F,20,白酒
22316,29.7579,CASH,F,20,软饮料
40743,25.3732,CARD,M,24,乳制品
79305,18.6381,CHEQUE,F,31,肉罐头
79305,18.6381,CHEQUE,F,31,白酒
83439,33.4975,CARD,F,43,肉罐头
83439,33.4975,CARD,F,43,白酒
83439,33.4975,CARD,F,43,鱼类
83439,33.4975,CARD,F,43,糖果
75971,16.0295,CARD,M,44,水果
75971,16.0295,CARD,M,44,乳制品
31046,16.5846,CASH,F,25,水果
31046,16.5846,CASH,F,25,蔬菜罐头
31046,16.5846,CASH,F,25,肉罐头
31046,16.5846,CASH,F,25,冻肉
31046,16.5846,CASH,F,25,啤酒
31046,16.5846,CASH,F,25,鱼类
13722,36.2168,CARD,M,19,水果
13722,36.2168,CARD,M,19,鲜肉
13722,36.2168,CARD,M,19,乳制品
13722,36.2168,CARD,M,19,啤酒
13722,36.2168,CARD,M,19,鱼类
40208,23.167,CASH,F,40,水果
40208,23.167,CASH,F,40,鲜肉
40208,23.167,CASH,F,40,肉罐头
40208,23.167,CASH,F,40,冻肉
41132,18.4412,CHEQUE,F,42,蔬菜罐头
41132,18.4412,CHEQUE,F,42,糖果
64596,42.1336,CASH,M,28,鲜肉
64596,42.1336,CASH,M,28,乳制品
64596,42.1336,CASH,M,28,啤酒
64596,42.1336,CASH,M,28,鱼类
46539,38.3992,CHEQUE,M,23,水果
46539,38.3992,CHEQUE,M,23,乳制品
46539,38.3992,CHEQUE,M,23,肉罐头
46539,38.3992,CHEQUE,M,23,鱼类
40690,28.6205,CASH,M,45,蔬菜罐头
40690,28.6205,CASH,M,45,冻肉
40690,28.6205,CASH,M,45,软饮料
51916,24.7427,CASH,F,23,乳制品
51916,24.7427,CASH,F,23,肉罐头
51916,24.7427,CASH,F,23,啤酒
51916,24.7427,CASH,F,23,软饮料
21814,22.3741,CARD,M,23,蔬菜罐头
21814,22.3741,CARD,M,23,肉罐头
21814,22.3741,CARD,M,23,冻肉
21814,22.3741,CARD,M,23,啤酒
31011,39.5627,CARD,M,16,水果
31011,39.5627,CARD,M,16,蔬菜罐头
31011,39.5627,CARD,M,16,冻肉
31011,39.5627,CARD,M,16,啤酒
31011,39.5627,CARD,M,16,白酒
31011,39.5627,CARD,M,16,鱼类
24210,30.4335,CARD,F,50,蔬菜罐头
24210,30.4335,CARD,F,50,冻肉
10902,26.7182,CARD,M,47,水果
10902,26.7182,CARD,M,47,白酒
106649,25.8123,CARD,F,22,水果
106649,25.8123,CARD,F,22,啤酒
106649,25.8123,CARD,F,22,鱼类
31033,41.5652,CARD,M,47,乳制品
31033,41.5652,CARD,M,47,白酒
31033,41.5652,CARD,M,47,糖果
68006,11.4931,CARD,M,19,鲜肉
47638,25.666,CASH,M,41,蔬菜罐头
47638,25.666,CASH,M,41,冻肉
47638,25.666,CASH,M,41,啤酒
18953,24.2569,CARD,F,17,水果
18953,24.2569,CARD,F,17,肉罐头
18953,24.2569,CARD,F,17,鱼类
18953,24.2569,CARD,F,17,糖果
21347,43.007,CHEQUE,F,24,肉罐头
21347,43.007,CHEQUE,F,24,冻肉
21347,43.007,CHEQUE,F,24,糖果
38600,47.476,CARD,M,48,白酒
38600,47.476,CARD,M,48,糖果
104830,21.4266,CASH,F,28,鲜肉
104830,21.4266,CASH,F,28,鱼类
56452,20.8234,CHEQUE,M,48,水果
56452,20.8234,CHEQUE,M,48,鲜肉
56452,20.8234,CHEQUE,M,48,肉罐头
56452,20.8234,CHEQUE,M,48,糖果
18030,12.9942,CARD,F,29,水果
18030,12.9942,CARD,F,29,肉罐头
72901,23.9797,CHEQUE,F,39,啤酒
104554,19.0629,CASH,M,21,水果
104554,19.0629,CASH,M,21,蔬菜罐头
104554,19.0629,CASH,M,21,冻肉
104554,19.0629,CASH,M,21,啤酒
104554,19.0629,CASH,M,21,鱼类
93162,46.8411,CARD,M,25,软饮料
93162,46.8411,CARD,M,25,鱼类
93162,46.8411,CARD,M,25,糖果
54313,30.6545,CASH,M,22,水果
54313,30.6545,CASH,M,22,软饮料
54313,30.6545,CASH,M,22,鱼类
54313,30.6545,CASH,M,22,糖果
89485,18.3222,CASH,M,28,肉罐头
89485,18.3222,CASH,M,28,冻肉
61309,22.5496,CHEQUE,M,44,肉罐头
61309,22.5496,CHEQUE,M,44,白酒
73441,21.3574,CARD,F,20,水果
73441,21.3574,CARD,F,20,肉罐头
73441,21.3574,CARD,F,20,鱼类
10717,47.2705,CARD,M,23,水果
10717,47.2705,CARD,M,23,鲜肉
10717,47.2705,CARD,M,23,鱼类
27694,24.8952,CARD,M,41,乳制品
27694,24.8952,CARD,M,41,蔬菜罐头
27694,24.8952,CARD,M,41,肉罐头
27694,24.8952,CARD,M,41,冻肉
27694,24.8952,CARD,M,41,啤酒
27694,24.8952,CARD,M,41,软饮料
69380,34.0379,CHEQUE,F,40,白酒
69380,34.0379,CHEQUE,F,40,糖果
26885,33.1864,CASH,M,28,乳制品
26885,33.1864,CASH,M,28,蔬菜罐头
26885,33.1864,CASH,M,28,冻肉
26885,33.1864,CASH,M,28,啤酒
90730,29.5005,CASH,M,36,蔬菜罐头
90730,29.5005,CASH,M,36,冻肉
90730,29.5005,CASH,M,36,啤酒
90730,29.5005,CASH,M,36,软饮料
69110,11.8488,CASH,M,16,水果
